,,BRISC,,,Cached RISC V,,,SERV,,
Clock Period (ns),Clock Frequency (Mhz),Power (W),Area (μm),Timing (ps),Power (W),Area (μm),Timing (ps),Power (W),Area (μm),Timing (ps)
1000,1,1.26E-03,17264000,482091,1.78E-03,35729600,499500,1.84E-04,1525600,973999
991,1.009081736,1.28E-03,17264000,477591,1.80E-03,35729600,495000,1.86E-04,1525600,964999
982,1.018329939,1.29E-03,17264000,473091,1.82E-03,35729600,490500,1.88E-04,1525600,955999
973,1.027749229,1.30E-03,17264000,468591,1.83E-03,35729600,486000,1.89E-04,1525600,946999
964,1.037344398,1.31E-03,17263360,464091,1.85E-03,35729600,481500,1.91E-04,1525600,937999
955,1.047120419,1.32E-03,17264320,459591,1.87E-03,35729600,477000,1.93E-04,1525600,928999
946,1.057082452,1.34E-03,17264960,455091,1.88E-03,35729600,472500,1.95E-04,1525600,919999
937,1.067235859,1.35E-03,17264000,450591,1.90E-03,35729600,468000,1.97E-04,1525600,910999
928,1.077586207,1.36E-03,17264000,446091,1.92E-03,35729600,463500,1.99E-04,1525600,901999
919,1.088139282,1.38E-03,17264000,441591,1.94E-03,35729600,459000,2.01E-04,1525600,892999
910,1.098901099,1.39E-03,17264000,437091,1.96E-03,35729600,454500,2.03E-04,1525600,883999
901,1.109877913,1.40E-03,17263360,432591,1.98E-03,35729600,450000,2.05E-04,1525600,874999
892,1.121076233,1.42E-03,17264320,428091,2.00E-03,35729600,445500,2.07E-04,1525600,865999
883,1.132502831,1.43E-03,17264960,423591,2.02E-03,35729600,441000,2.09E-04,1525600,856999
874,1.14416476,1.45E-03,17264000,419091,2.04E-03,35729600,436500,2.11E-04,1525600,847999
865,1.156069364,1.46E-03,17264000,414591,2.06E-03,35729600,432000,2.13E-04,1525600,838999
856,1.168224299,1.48E-03,17264000,410091,2.08E-03,35729600,427500,2.15E-04,1525600,829999
847,1.180637544,1.49E-03,17264000,405591,2.10E-03,35729600,423000,2.18E-04,1525600,820999
838,1.193317422,1.51E-03,17263360,401091,2.13E-03,35729600,418500,2.20E-04,1525600,811999
829,1.206272618,1.53E-03,17264320,396591,2.15E-03,35729600,414000,2.22E-04,1525600,802999
820,1.219512195,1.54E-03,17264960,392091,2.17E-03,35729600,409500,2.25E-04,1525600,793999
811,1.233045623,1.56E-03,17264000,387591,2.20E-03,35729600,405000,2.27E-04,1525600,784999
802,1.246882793,1.58E-03,17264000,383091,2.22E-03,35729600,400500,2.30E-04,1525600,775999
793,1.261034048,1.59E-03,17264000,378591,2.25E-03,35729600,396000,2.32E-04,1525600,766999
784,1.275510204,1.61E-03,17264000,374091,2.27E-03,35729600,391500,2.35E-04,1525600,757999
775,1.290322581,1.63E-03,17263360,369591,2.30E-03,35729600,387000,2.38E-04,1525600,748999
766,1.305483029,1.65E-03,17264320,365091,2.33E-03,35729600,382500,2.41E-04,1525600,739999
757,1.321003963,1.67E-03,17264960,360591,2.35E-03,35729600,378000,2.43E-04,1525600,730999
748,1.336898396,1.69E-03,17264000,356091,2.38E-03,35729600,373500,2.46E-04,1525600,721999
739,1.353179973,1.71E-03,17264000,351591,2.41E-03,35729600,369000,2.49E-04,1525600,712999
730,1.369863014,1.73E-03,17264000,347091,2.44E-03,35729600,364500,2.52E-04,1525600,703999
721,1.386962552,1.75E-03,17264000,342591,2.47E-03,35729600,360000,2.56E-04,1525600,694999
712,1.404494382,1.78E-03,17263360,338091,2.50E-03,35729600,355500,2.59E-04,1525600,685999
703,1.422475107,1.80E-03,17264320,333591,2.54E-03,35729600,351000,2.62E-04,1525600,676999
694,1.44092219,1.82E-03,17264960,329091,2.57E-03,35729600,346500,2.66E-04,1525600,667999
685,1.459854015,1.85E-03,17264000,324591,2.60E-03,35729600,342000,2.69E-04,1525600,658999
676,1.479289941,1.87E-03,17264000,320091,2.64E-03,35729600,337500,2.73E-04,1525600,649999
667,1.499250375,1.90E-03,17264000,315591,2.67E-03,35729600,333000,2.76E-04,1525600,640999
658,1.519756839,1.92E-03,17264000,311091,2.71E-03,35729600,328500,2.80E-04,1525600,631999
649,1.540832049,1.95E-03,17263360,306591,2.75E-03,35729600,324000,2.84E-04,1525600,622999
640,1.5625,1.98E-03,17264320,302091,2.79E-03,35729600,319500,2.88E-04,1525600,613999
631,1.584786054,2.00E-03,17264960,297591,2.83E-03,35729600,315000,2.92E-04,1525600,604999
